loc_rowid,pl_name,host_name,sy_star_count,sy_planet_count,disc_method,disc_year,disc_facility,disc_telescope,disc_instrument,facility_count,telescope_count,instrument_count,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,ttv_flag,st_temp_eff_k,st_temp_eff_k1,st_temp_eff_k2,st_radius,st_mass,st_metallicity,st_surf_gravity,rastr,ra,decstr,dec,sy_distance_pc,sy_vmag,sy_kmag,sy_gaiamag
1,11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,2,2,10,0,326.03,1.29,12.1,1.08,6165.6,19.4,Msini,0.231,0,4742,100,-100,19,2.7,-0.35,2.31,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,4.72307,2.282,4.44038
2,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,8,8,10,0,516.21997,1.53,12.3,1.09,4684.8142,14.74,Msini,0.08,0,4213,46,-46,29.79,2.78,-0.02,1.93,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,5.013,1.939,4.56216
3,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,31,31,31,0,185.84,0.83,12.9,1.15,1525.5,4.8,Msini,0,0,4813,20,-20,11,2.2,-0.24,2.63,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,5.23133,2.331,4.91781
4,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,182,174,174,0,1773.40002,2.93,12.9,1.15,1481.0878,4.66,Msini,0.37,0,5338,25,-25,0.93,0.9,0.41,4.45,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,6.61935,4.714,6.383
5,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,Multiple Instruments,188,226,218,0,798.5,1.66,13.5,1.2,565.7374,1.78,Msini,0.68,0,5750,8,-8,1.13,1.08,0.06,4.36,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,6.215,4.651,6.06428
6,17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,35,3,34,0,578.38,1.45,12.9,1.15,1373.01872,4.32,Msini,0.06,0,4157,11,-10,25.92,1.22,-0.01,1.7,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,5.22606,2.094,4.75429
7,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,31,31,31,0,993.3,2.6,12.5,1.11,3273.5,10.3,Msini,0.08,0,4979,18,-18,8.5,2.3,-0.052,2.82,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,5.51048,3.366,5.27476
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,8,5,5,0,,330,18.647,1.664,3000,8,Mass,,0,4060,300,-200,1.31,0.85,,4,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,12.618,8.916,12.0572
9,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,31,31,31,0,30.3506,0.19,13.9,1.24,289.2253,0.91,Msini,0.042,0,4893,15,-15,10.64,0.99,-0.77,2.42,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,5.59,3.159,5.3339
10,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,35,27,34,0,452.8,1.333,13.4,1.19,632.46,1.99,Msini,0.09,0,5098,44,-44,4.9,1.54,-0.03,3.5,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,6.4535,4.285,6.20374
