reportPeriod,ticker,period,sector,company,city,state,calendarDate,updated,dateKey,Price_Actual,Price_LQ,Delta_QoQ,Return_QoQ,Price_Avg,accumulatedOtherComprehensiveIncome,assets,bookValuePerShare,capitalExpenditure,cashAndEquivalents,cashAndEquivalentsUSD,costOfRevenue,consolidatedIncome,debtToEquityRatio,debt,debtUSD,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeInterestTaxesDepreciationAmortizationUSD,earningBeforeInterestTaxesUSD,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,earningsPerBasicShareUSD,shareholdersEquity,shareholdersEquityUSD,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,foreignCurrencyUSDExchangeRate,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,inventory,investments,totalLiabilities,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netIncomeCommonStockUSD,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,revenuesUSD,researchAndDevelopmentExpense,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,assetsCurrent,assetsNonCurrent,currentRatio,debtCurrent,debtNonCurrent,investmentsCurrent,investmentsNonCurrent,currentLiabilities,liabilitiesNonCurrent,workingCapital,Year,Month,Quarter,Yr-Q
2000-03-31,HST,Q,LODGING,Host Hotels & Resorts,Bethesda,MD,2000-03-31,2020-02-25,2000-05-08,$4.54,- ,- ,- ,,1000000,8086000000,6.189,-99000000,126000000,126000000,59000000,-57000000,4.242,4843000000,4843000000,0,74000000,0,0.084,0.21,40000000,114000000,0.616,114000000,40000000,-56000000,-0.26,-0.26,-0.26,1362000000,1362000000,6917769240,9,6.423,-31000000,-0.141,1,126000000,0.681,0,96000000,12803000000,0,49000000,5777000000,2200769240,-151000000,0,-43000000,-6000000,-51000000,-120000000,-99000000,0,68000000,0,-57000000,-58000000,-58000000,0,0,-0.314,90000000,36000000,145000000,-0.808,1.616,5.948,5.988,7120000000,1000000,10,1.382,1.382,260000000,-647000000,185000000,185000000,0,0,10000000,1,220076924,220076924,,0.841,8086000000,0,1000000,49000000,36.742,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,HR,Q,HEALTH CARE,Healthcare Realty Trust,Nashville,TN,2000-03-31,2020-02-13,2000-05-15,$3.85,- ,- ,- ,,0,1609237000,25.74,-6268000,5188000,5188000,5464000,20453000,0.585,570319000,570319000,0,9928000,0,0.126,0.555,30979000,40907000,0.848,40907000,30979000,20453000,0.48,0.47,0.48,1015184000,1015184000,1264877358,10,7.627,18664000,0.473,1,42795000,0.887,0,10526000,2174368000,0,254176000,594053000,699746358,787000,0,243000,6320000,-23723000,-17160000,-6985000,-717000,24932000,0,20453000,20453000,20453000,0,0,0.424,11816000,30979000,14750000,1.156,0.689,8.161,8.677,1312040000,0,17.44,3.71,3.647,0,-30693000,48259000,48259000,0,0,2154000,1,40123071,39439719,40114946,1.224,1609237000,0,0,0,40.802,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,AMT,Q,DATA CENTER,American Tower Corporation,Boston,MA,2000-03-31,2020-04-29,2000-05-15,$40.54,- ,- ,- ,,0,4255140000,13.808,-102757000,140733000,140733000,79708000,-41998000,0.955,1883607000,1883607000,29495000,0,0,0,0,-23288000,-23288000,-0.202,-23288000,-23288000,-55438000,-0.27,-0.27,-0.27,2161228000,2161228000,8233492160,-196,90.923,-115186000,-0.736,1,35809000,0.31,1945305000,32150000,3874147000,25309000,133967000,2063522000,6490618160,115521000,-737909000,6794000,1064474000,0,1028192000,-900242000,-50010000,-12429000,0,-41998000,-41998000,-41998000,0,0,-0.364,59617000,-23808000,32689000,0,3.003,-77.989,-77.358,1668854000,0,41,19.598,19.376,118346000,-142427000,115517000,115517000,988000,0,3431000,1,158307760,156515000,156515000,0.738,2309835000,125414000,-13440000,0,14.758,303514000,3951626000,1.7,4862000,1878745000,0,133967000,178562000,1884960000,124952000,2000,3,1,2000-1
2000-03-31,UDR,Q,RESIDENTIAL,UDR,Highlands Ranch,CO,2000-03-31,2020-02-22,2000-05-12,$3.18,- ,- ,- ,,0,3654351000,12.564,-27639000,62775000,62775000,48987000,18580000,1.752,2118194000,2118194000,0,35107000,0,0.103,0.27,57655000,92762000,0.598,92762000,57655000,18580000,0.09,0.09,0.09,1294295000,1294295000,3138540190,13,8.311,21269000,0.206,1,106140000,0.684,0,39075000,5709770000,0,0,2267194000,1083121190,-1721000,0,2319000,-10071000,-26899000,-46399000,-4230000,23409000,48908000,0,18580000,9172000,9172000,0,0,0.059,49945000,56195000,74305000,3,0.837,19.897,19.811,3524360000,9408000,10.5,1.744,1.742,0,-313757000,155127000,155127000,0,0,14436000,1,103154399,103019000,103045000,1.506,3654351000,0,0,31374000,35.473,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,BFS,Q,STRIP CENTER,Saul Centers,Bethesda,MD,2000-03-31,2020-02-28,2000-05-15,$5.74,- ,- ,- ,,0,314313000,-2.327,-10584000,5738000,5738000,3897000,5533000,-10.93,319183000,319183000,2443000,3150000,0,0.098,0.39,9304000,12454000,0.642,12454000,9304000,3516000,0.26,0.26,0.26,-31652000,-31652000,530231885,15,10.767,4708000,0.346,1,15510000,0.799,0,5788000,627758000,0,0,345965000,216786885,4781000,0,1945000,8915000,-7271000,3426000,-13937000,-3353000,15292000,0,3516000,3516000,3516000,0,2017000,0.181,3965000,11545000,24339000,1.5,-6.849,15.832,15.476,288491000,0,15.94,2.882,2.882,6493000,-78346000,19407000,19407000,0,0,918000,1,13600181,13600181,,1.427,314313000,0,0,0,23.111,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,EQC,Q,OFFICE,Equity Commonwealth,Chicago,IL,2000-03-31,2020-02-14,2000-05-15,$7.27,- ,- ,- ,,-8192000,2934381000,45.666,-3638000,5214000,5214000,33827000,26450000,0.948,1356631000,1356631000,0,15874000,7174000,0.16,1.28,51548000,67422000,0.673,67422000,51548000,26450000,0.8,0.8,0.8,1506090000,1506090000,2456379719,13,9.585,24013000,0.728,1,66427000,0.663,0,25098000,4285798000,0,313076000,1428291000,1104962719,-7992000,0,0,6704000,0,-35512000,-131000,3507000,27651000,0,26450000,26450000,26450000,0,0,0.264,20571000,45856000,57002000,1.6,0.734,11.919,11.964,2538268000,0,33.5,2.61,2.609,37925000,-458618000,100254000,100254000,0,0,4697000,1,32983962,32980250,32980250,3.04,2934381000,0,0,0,88.974,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,AVB,Q,RESIDENTIAL,AvalonBay,Arlington,VA,2000-03-31,2020-02-22,2000-05-15,$15.18,- ,- ,- ,,0,4180116000,35.905,-72392000,17544000,17544000,44568000,47172000,0.745,1619170000,1619170000,0,29419000,0,0.052,0.56,67239000,96658000,0.716,96658000,67239000,47172000,0.56,0.55,0.56,2375792000,2375792000,4306629396,15,11.05,-12085000,-0.183,1,90520000,0.67,0,20067000,5781742000,0,32254000,1768822000,2705003396,455000,29325000,3974000,25523000,-44139000,-15056000,-44796000,0,60307000,0,47172000,37227000,37227000,0,0,0.276,32366000,58154000,0,1,1.139,16.921,16.823,4063603000,9945000,40.88,5.191,5.191,0,-69222000,135088000,135088000,0,1248000,2947000,1,66169359,66169359,,2.042,4180116000,0,0,0,63.173,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,CPT,Q,RESIDENTIAL,Camden Property Trust,Houston,TX,2000-03-31,2020-03-06,2000-05-15,$9.37,- ,- ,- ,,0,2497459000,25.532,-18428000,10078000,10078000,37696000,15019000,1.322,1203723000,1203723000,0,24599000,0,0.093,1.123,31603000,56202000,0.569,56202000,31603000,15019000,0.33,0.31,0.33,982774000,982774000,2301280164,19,10.737,10062000,0.261,1,61018000,0.618,0,16584000,3691104000,0,0,1299062000,1107635164,167000,0,-26306000,35758000,-27101000,-460000,-27863000,-9058000,28490000,0,15019000,12676000,12676000,0,0,0.128,25805000,35213000,51504000,3.403,1.127,21.624,22.656,2419163000,2343000,29,2.906,2.928,3943000,-141431000,98714000,98714000,0,0,3139000,1,38194316,38492000,41575000,2.565,2497459000,0,0,12301000,64.883,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,BXP,Q,OFFICE,Boston Properties,Boston,MA,2000-03-31,2020-03-02,2000-05-15,$12.01,- ,- ,- ,,58563000,5716317000,16.309,-100641000,18335000,18335000,65177000,32620000,3.339,3530399000,3530399000,0,32231000,0,0.049,0.45,87835000,120066000,0.571,120066000,87835000,32620000,0.46,0.45,0.46,1108082000,1108082000,5975872499,18,12.955,-24335000,-0.358,1,145077000,0.69,0,55215000,9228381000,0,109564000,3699409000,2463808499,6300000,19000,214000,91109000,-47961000,33272000,-103278000,0,76306000,0,32620000,30977000,30977000,0,0,0.147,39639000,105438000,57098000,0.978,2.223,20.533,20.251,5346587000,1643000,36.25,3.045,3.044,34539000,-10495000,210254000,210254000,0,53000,7408000,1,67967131,67943000,68380000,3.095,5716317000,0,0,0,84.134,,,,,,,,,,,2000,3,1,2000-1
2000-03-31,SKT,Q,MALL,Tanger Outlet Centers,Greensboro,NC,2000-03-31,2020-02-20,2000-05-15,$1.49,- ,- ,- ,,0,485517000,3.339,-5417000,200000,200000,7439000,2669000,3.308,329617000,329617000,0,6438000,0,0.106,0.152,9331000,15769000,0.611,15769000,9331000,2669000,0.07,0.07,0.07,105203000,105203000,509087606,12,7.726,4204000,0.133,1,18378000,0.712,0,6662000,814934000,0,0,348011000,179670606,-303000,0,0,-30000,-5230000,-7533000,-2391000,0,9621000,0,2669000,2203000,2203000,0,0,0.085,8199000,10179000,18394000,2.171,1.708,12.856,12.872,461250000,466000,5.702,1.7,1.7,0,-31448000,25817000,25817000,0,0,1761000,1,31507340,31507340,,0.819,485517000,0,0,0,15.41,,,,,,,,,,,2000,3,1,2000-1
