DATE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D,RETURN_1D
DATE,OFF_AVG,RESI_AVG,HOT_AVG,NL_AVG,SC_AVG,MALL_AVG,HC_AVG,IND_AVG,SS_AVG,DC_AVG,ALL_AVG,OFF_AVG,RESI_AVG,HOT_AVG,NL_AVG,SC_AVG,MALL_AVG,HC_AVG,IND_AVG,SS_AVG,DC_AVG,ALL_AVG
MARKET CAPITALIZATION,,,,,,,,,,,,,,,,,,,,,,
DATE,OFF_AVG_CLOSE,RESI_AVG_CLOSE,HOT_AVG_CLOSE,NL_AVG_CLOSE,SC_AVG_CLOSE,MALL_AVG_CLOSE,HC_AVG_CLOSE,IND_AVG_CLOSE,SS_AVG_CLOSE,DC_AVG_CLOSE,ALL_AVG_CLOSE,OFF_AVG_RETURN_1D,RESI_AVG_RETURN_1D,HOT_AVG_RETURN_1D,NL_AVG_RETURN_1D,SC_AVG_RETURN_1D,MALL_AVG_RETURN_1D,HC_AVG_RETURN_1D,IND_AVG_RETURN_1D,SS_AVG_RETURN_1D,DC_AVG_RETURN_1D,ALL_AVG_RETURN_1D
2000-01-03 00:00:00,$8.13 ,$7.91 ,$8.41 ,$2.91 ,$10.55 ,$14.99 ,$2.84 ,$7.79 ,$3.78 ,$24.07 ,$9.14 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
2000-01-04 00:00:00,$8.06 ,$7.78 ,$8.30 ,$2.89 ,$10.56 ,$15.09 ,$2.82 ,$7.67 ,$3.71 ,$23.81 ,$9.07 ,(0.80%),(1.56%),(1.38%),(0.58%),0.15%,0.64%,(0.65%),(1.58%),(1.99%),(1.07%),(0.88%)
2000-01-05 00:00:00,$8.06 ,$7.82 ,$8.25 ,$2.89 ,$10.41 ,$15.13 ,$2.86 ,$7.67 ,$3.69 ,$24.53 ,$9.13 ,(0.05%),0.42%,(0.49%),0.02%,(1.43%),0.28%,1.28%,0.06%,(0.34%),3.02%,0.28%
2000-01-06 00:00:00,$8.19 ,$7.98 ,$8.21 ,$2.90 ,$10.49 ,$15.55 ,$2.99 ,$7.86 ,$3.77 ,$24.27 ,$9.22 ,1.66%,2.16%,(0.50%),0.31%,0.74%,2.74%,4.60%,2.47%,2.08%,(1.05%),1.52%
2000-01-07 00:00:00,$8.37 ,$8.15 ,$8.32 ,$2.93 ,$10.62 ,$16.21 ,$2.99 ,$8.00 ,$3.94 ,$25.61 ,$9.51 ,2.17%,2.07%,1.31%,0.87%,1.25%,4.28%,(0.05%),1.83%,4.41%,5.50%,2.36%
2000-01-10 00:00:00,$8.43 ,$8.15 ,$8.56 ,$2.96 ,$10.51 ,$16.70 ,$3.05 ,$8.09 ,$3.96 ,$27.87 ,$9.83 ,0.68%,0.00%,2.85%,1.18%,(1.00%),3.02%,2.06%,1.08%,0.65%,8.82%,1.93%
2000-01-11 00:00:00,$8.43 ,$8.06 ,$8.53 ,$2.94 ,$10.48 ,$16.66 ,$3.02 ,$8.09 ,$3.94 ,$29.97 ,$10.01 ,0.07%,(1.04%),(0.29%),(0.65%),(0.35%),(0.26%),(0.88%),(0.03%),(0.65%),7.55%,0.35%
2000-01-12 00:00:00,$8.40 ,$8.05 ,$8.52 ,$2.93 ,$11.61 ,$16.63 ,$3.02 ,$8.03 ,$3.96 ,$31.20 ,$10.23 ,(0.42%),(0.18%),(0.15%),(0.58%),10.86%,(0.18%),(0.25%),(0.67%),0.65%,4.11%,1.32%
2000-01-13 00:00:00,$8.48 ,$8.06 ,$8.57 ,$2.94 ,$11.61 ,$16.55 ,$3.04 ,$8.03 ,$3.96 ,$30.38 ,$10.16 ,0.95%,0.07%,0.57%,0.46%,(0.03%),(0.44%),0.84%,(0.10%),- ,(2.63%),(0.03%)
2000-01-14 00:00:00,$8.42 ,$8.02 ,$8.61 ,$2.99 ,$10.47 ,$16.63 ,$3.00 ,$7.93 ,$3.91 ,$31.30 ,$10.13 ,(0.65%),(0.41%),0.52%,1.61%,(9.83%),0.45%,(1.40%),(1.14%),(1.29%),3.04%,(0.91%)
2000-01-18 00:00:00,$8.48 ,$7.99 ,$8.68 ,$3.01 ,$10.50 ,$16.98 ,$2.94 ,$8.04 ,$3.99 ,$31.56 ,$10.22 ,0.66%,(0.46%),0.81%,0.63%,0.32%,2.11%,(1.82%),1.33%,1.96%,0.82%,0.63%
2000-01-19 00:00:00,$8.52 ,$8.12 ,$8.86 ,$3.01 ,$10.52 ,$16.83 ,$2.92 ,$8.07 ,$3.99 ,$32.02 ,$10.29 ,0.51%,1.73%,2.04%,0.23%,0.16%,(0.89%),(0.83%),0.34%,- ,1.46%,0.48%
2000-01-20 00:00:00,$8.49 ,$8.09 ,$8.81 ,$3.04 ,$10.52 ,$16.69 ,$2.93 ,$8.08 ,$3.99 ,$33.25 ,$10.39 ,(0.31%),(0.46%),(0.62%),0.87%,(0.02%),(0.84%),0.21%,0.22%,- ,3.85%,0.29%
2000-01-21 00:00:00,$8.53 ,$8.10 ,$8.67 ,$3.06 ,$10.51 ,$16.88 ,$2.99 ,$8.12 ,$3.93 ,$35.41 ,$10.62 ,0.38%,0.16%,(1.56%),0.54%,(0.11%),1.18%,2.22%,0.40%,(1.60%),6.48%,0.81%
2000-01-24 00:00:00,$8.38 ,$8.05 ,$8.46 ,$3.01 ,$10.51 ,$16.70 ,$2.93 ,$8.06 ,$3.96 ,$34.48 ,$10.45 ,(1.73%),(0.61%),(2.46%),(1.40%),0.03%,(1.10%),(1.95%),(0.66%),0.98%,(2.61%),(1.15%)
2000-01-25 00:00:00,$8.33 ,$8.06 ,$8.42 ,$3.03 ,$10.50 ,$16.63 ,$2.90 ,$8.06 ,$3.93 ,$33.92 ,$10.38 ,(0.55%),0.10%,(0.38%),0.66%,(0.10%),(0.42%),(1.04%),(0.06%),(0.97%),(1.64%),(0.44%)
2000-01-26 00:00:00,$8.36 ,$8.05 ,$8.38 ,$3.01 ,$10.53 ,$16.79 ,$2.92 ,$8.05 ,$3.89 ,$32.64 ,$10.26 ,0.37%,(0.12%),(0.49%),(0.88%),0.29%,1.00%,0.72%,(0.17%),(0.98%),(3.78%),(0.40%)
2000-01-27 00:00:00,$8.34 ,$8.05 ,$8.42 ,$3.05 ,$10.53 ,$16.64 ,$2.93 ,$8.03 ,$3.86 ,$31.51 ,$10.14 ,(0.31%),0.06%,0.44%,1.61%,(0.03%),(0.93%),0.29%,(0.23%),(0.66%),(3.46%),(0.32%)
2000-01-28 00:00:00,$8.31 ,$7.98 ,$8.25 ,$3.06 ,$10.48 ,$16.67 ,$2.89 ,$8.01 ,$3.86 ,$31.05 ,$10.06 ,(0.28%),(0.95%),(2.03%),0.03%,(0.41%),0.20%,(1.33%),(0.17%),- ,(1.47%),(0.64%)
2000-01-31 00:00:00,$8.20 ,$7.92 ,$8.20 ,$3.03 ,$10.46 ,$16.74 ,$2.82 ,$8.00 ,$3.87 ,$29.46 ,$9.87 ,(1.31%),(0.65%),(0.54%),(0.84%),(0.20%),0.43%,(2.67%),(0.11%),0.33%,(5.12%),(1.07%)
